aspect,negative,neutral,positive
audio,245,19,596
battery,360,38,493
book,7247,494,20229
camera,285,20,648
comfort,24,0,176
customer service,245,9,233
delivery,95,8,345
design,371,16,660
display,115,9,211
durability,25,1,97
material,356,20,1113
movie,4731,175,10225
music,1143,63,5098
packaging,152,7,302
performance,287,14,926
price,709,70,3172
product,2267,187,4186
quality,1679,86,3434
screen,403,22,842
seller,282,35,456
service,457,24,769
shipping,289,27,619
size,384,53,1277
software,228,19,401
sound,953,51,2998
story,2461,110,7267
value,212,7,892
video,643,32,1744
